"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","GetFranchiseList - all params as null","API_Regression_Suite","Fri Oct 17 10:15:08 UTC 2025","passed","Fri Oct 17 10:15:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1332","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Fri Oct 17 10:14:59 UTC 2025","failed","Fri Oct 17 10:15:00 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","292","GetFranchiseList - status is boolean","API_Regression_Suite","Fri Oct 17 10:15:06 UTC 2025","passed","Fri Oct 17 10:15:06 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","308","GetFranchiseList - status is number","API_Regression_Suite","Fri Oct 17 10:15:05 UTC 2025","passed","Fri Oct 17 10:15:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","283","GetFranchiseList - page_size and country valid, status invalid","API_Regression_Suite","Fri Oct 17 10:15:09 UTC 2025","passed","Fri Oct 17 10:15:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","290","GetFranchiseList - status is special characters","API_Regression_Suite","Fri Oct 17 10:15:06 UTC 2025","passed","Fri Oct 17 10:15:06 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","285","GetFranchiseList - status is not an allowed value","API_Regression_Suite","Fri Oct 17 10:15:06 UTC 2025","passed","Fri Oct 17 10:15:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","365","GetFranchiseList - country is SQL injection","API_Regression_Suite","Fri Oct 17 10:15:08 UTC 2025","passed","Fri Oct 17 10:15:08 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is object","API_Regression_Suite","Fri Oct 17 10:15:07 UTC 2025","passed","Fri Oct 17 10:15:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","289","GetFranchiseList - status is array","API_Regression_Suite","Fri Oct 17 10:15:07 UTC 2025","passed","Fri Oct 17 10:15:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
