"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","382","GetFranchiseList - page_size is null","API_Regression_Suite","Fri Oct 17 10:03:40 UTC 2025","failed","Fri Oct 17 10:03:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","403","GetFranchiseList - page_size is object","API_Regression_Suite","Fri Oct 17 10:03:43 UTC 2025","failed","Fri Oct 17 10:03:43 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","383","GetFranchiseList - page_size is omitted","API_Regression_Suite","Fri Oct 17 10:03:40 UTC 2025","failed","Fri Oct 17 10:03:40 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","1505","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Fri Oct 17 10:03:41 UTC 2025","failed","Fri Oct 17 10:03:42 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","383","GetFranchiseList - status is boolean","API_Regression_Suite","Fri Oct 17 10:03:48 UTC 2025","passed","Fri Oct 17 10:03:49 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","402","GetFranchiseList - country is lowercase","API_Regression_Suite","Fri Oct 17 10:03:46 UTC 2025","passed","Fri Oct 17 10:03:46 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","427","GetFranchiseList - country is empty string","API_Regression_Suite","Fri Oct 17 10:03:44 UTC 2025","passed","Fri Oct 17 10:03:44 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","412","GetFranchiseList - country is array","API_Regression_Suite","Fri Oct 17 10:03:47 UTC 2025","passed","Fri Oct 17 10:03:47 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","325","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Fri Oct 17 10:03:53 UTC 2025","passed","Fri Oct 17 10:03:54 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Validates GET /v1/franchise with dynamic parameters - Positive Test","1366","GetFranchiseList","API_Regression_Suite","Fri Oct 17 10:03:26 UTC 2025","passed","Fri Oct 17 10:03:28 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","GetFranchiseList"
